,channel_id,prop,sku_id,NextWeek_predict,distribution_sale,var
0,AAB93,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
1,AH01SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
2,AH01SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
3,AH01SH05,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
4,AH01SH06,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
5,AH02SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
6,AH02SH03,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
7,BJ01SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
8,BJ01SH03,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
9,BJ01SH07,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
10,BJ01SH09,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
11,BJ01SH12,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
12,BJ01SH13,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
13,BJ02SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
14,CQ01SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
15,CQ01SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
16,CQ01SH04,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
17,CQ01SH05,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
18,CQ01SH06,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
19,CQ01SH07,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
20,CQ02SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
21,FJ01SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
22,FJ02SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
23,FJ02SH03,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
24,FJ02SH04,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
25,FJ03SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
26,GS01SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
27,GS01SH05,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
28,GS01SH06,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
29,GS01SH07,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
30,GS01SH08,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
31,GS01SH10,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
32,GS01SH13,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
33,GS01SH15,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
34,GS01SH17,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
35,GS01SH21,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
36,GX01SH03,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
37,GX01SH04,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
38,GZ01SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
39,HB01SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
40,HB01SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
41,HB01SH05,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
42,HB01SH08,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
43,HB03SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
44,HB03SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
45,HB05SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
46,HL02SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
47,HN01SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
