,date,max_price,mean_price,min_price,num_black,num_blue,num_disc,num_grey,num_nodisc,num_purple,num_white,sale_vol,size_large,size_medium,size_small,std_price,month
54,2013-07-01,-0.724469387312,-0.844360442671,0.676820175497,8,93,-0.835235826419,1,-0.607226995384,0,0,105,-0.598339260367,-0.674308431076,-0.674308431076,124.881779159,6
55,2013-08-01,-0.724469387312,-0.603592704524,0.676820175497,18,117,-0.822323136497,0,-0.588266581802,1,0,182,-0.607810087901,-0.647642016863,-0.647642016863,129.321199811,7
56,2013-09-01,-0.724469387312,-1.60149940966,-1.20923894925,13,381,-0.788750142702,2,-0.470194915407,14,0,467,-0.479953916189,-0.538013425097,-0.538013425097,149.855079681,8
57,2013-10-01,-0.724469387312,-0.562104247624,-0.454815299354,12,109,-0.791332680686,1,-0.58654290784,0,0,172,-0.5936038466,-0.645271668932,-0.645271668932,185.296820302,9
58,2013-11-01,-0.724469387312,-1.45935718766,-0.454815299354,37,134,-0.832653288435,5,-0.563704227844,0,1,212,-0.56045595023,-0.647642016863,-0.647642016863,155.234394153,10
59,2013-12-01,-0.724469387312,-1.98788339697,-1.20923894925,29,294,-0.824905674482,1,-0.504668394646,0,0,357,-0.446806019819,-0.604975754121,-0.604975754121,142.294352402,11
60,2014-01-01,-0.724469387312,-2.17354105928,-1.02063303678,15,283,-0.822323136497,0,-0.519319623323,0,0,327,-0.565191363997,-0.593124014471,-0.593124014471,130.650201651,0
61,2014-02-01,-0.724469387312,-1.67487407051,-1.02063303678,11,90,-0.842983440372,4,-0.60377964746,0,0,107,-0.555720536463,-0.690900866586,-0.690900866586,113.452940659,1
62,2014-03-01,-0.724469387312,-2.13728253856,-0.266209386879,28,206,-0.845565978356,0,-0.546036569734,0,0,243,-0.579397605299,-0.632234755317,-0.632234755317,88.4826676962,2
63,2014-04-01,-0.724469387312,-0.421164099869,1.14833495668,9,21,-0.832653288435,0,-0.638253126699,0,0,35,-0.617280915436,-0.706308128132,-0.706308128132,157.482760895,3
64,2014-05-01,-1.58370593562,-0.966116909028,0.676820175497,5,11,-0.84814851634,0,-0.641700474623,0,0,17,-0.617280915436,-0.714604345887,-0.714604345887,84.9166087984,4
65,2014-06-01,-1.58370593562,-1.78188811063,0.676820175497,9,85,-0.84814851634,2,-0.607657913874,0,0,96,-0.607810087901,-0.671345496163,-0.671345496163,55.7052937575,5
66,2014-07-01,-1.58370593562,-1.95277681443,-1.92594141666,1,75,-0.84814851634,0,-0.615845365193,0,0,78,-0.607810087901,-0.685567583744,-0.685567583744,138.514627047,6
67,2014-08-01,-1.36889679855,-0.788796137871,0.676820175497,7,89,-0.84814851634,1,-0.607226995384,0,0,98,-0.617280915436,-0.667197387286,-0.667197387286,85.4732165113,7
68,2014-09-01,-1.15408766147,-0.810389413109,0.299608350546,9,73,-0.84814851634,0,-0.61282893576,0,0,84,-0.617280915436,-0.674901018058,-0.674901018058,105.144967278,8
69,2014-10-01,-0.724469387312,-1.00256477298,-0.285069978127,9,88,-0.845565978356,0,-0.605934239912,0,0,101,-0.617280915436,-0.666012213321,-0.666012213321,122.326640916,9
70,2014-11-01,-1.36889679855,-0.799439668577,0.676820175497,10,55,-0.84814851634,0,-0.618430876136,0,0,72,-0.617280915436,-0.682604648831,-0.682604648831,79.7007694832,10
71,2014-12-01,-0.724469387312,-1.66217563463,0.337329533042,34,106,-0.845565978356,1,-0.58697382633,0,0,147,-0.617280915436,-0.638753212125,-0.638753212125,90.9132724927,11
72,2015-01-01,0.809881591817,1.66355646362,1.97820097158,0,0,1.0525994401,0,0.3407936837,0,0,3045,0.699164111826,0.380496397806,0.380496397806,184.811429381,0
73,2015-02-01,2.34423257094,1.63827046704,-0.171906430641,0,0,1.52778642921,0,0.473085660281,0,0,3536,0.841226524839,0.563013188422,0.563013188422,186.358284153,1
74,2015-03-01,0.809881591817,1.6766374036,1.80845565035,0,0,1.75763230981,0,0.408016968216,0,0,3479,0.386626803195,0.75797430567,0.75797430567,167.024859981,2
75,2015-04-01,0.809881591817,1.66577402613,-2.17112910288,0,0,2.26122721674,0,0.573058750075,0,0,4046,0.64233914662,0.973083380324,0.973083380324,156.249872024,3
76,2015-05-01,0.809881591817,1.78913003994,2.35541279653,0,0,3.29165987248,0,0.696732356846,0,153,4739,0.585514181415,1.24567339228,1.24567339228,162.263015562,4
77,2015-06-01,0.809881591817,1.73557079244,0.865426087972,0,0,2.23281929892,0,0.548065477626,0,121,3925,0.282447700318,0.973675967307,0.973675967307,167.571610503,5
78,2015-07-01,0.809881591817,1.44918381728,0.488214263022,0,0,2.25606214078,0,0.63037090931,0,61,4168,0.320331010455,1.1330818656,1.1330818656,182.757903713,6
79,2015-08-01,0.809881591817,1.64860207104,1.24263791292,0,0,2.20699391907,0,0.580384364413,0,29,4046,0.381891389428,1.03530501349,1.03530501349,168.021006395,7
