,error
0,20.45805498581523
1,14.726134568291645
2,8.519192652452963
3,22.501093266197504
4,17.28290534005142
5,18.49091252228484
6,10.756490579642092
7,21.698727494237037
8,16.79013006654807
9,14.432973916737888
10,11.81363010852156
11,14.531173595549681
12,14.509131346186713
13,13.305111036252361
14,22.739308870110946
15,12.259398361978432
16,17.229554393830206
17,16.39125700875854
18,27.510988654998634
19,14.593030167452525
